license,name,municipality,county,county_source,address,city,zip,lat,lon,status
120700588,"The Turf Room Restaurant, Inc.",North Aurora,Kane,igb_licensee_list,650 Randall Crossing Lane,North Aurora,60542,,,needs_coordinates
240701729,THE VAULT GAMING LOUNGE AND BAR LLC,Winnebago County,Winnebago,igb_licensee_list,3034 S PECATONICA RD,Seward,61077,,,needs_coordinates
220700953,The Vault LP,Ashmore,Coles,igb_licensee_list,102 West Ashmore Street,Ashmore,61912,,,needs_coordinates
140702231,"The Village Tavern Of Long Grove, Inc.",Long Grove,Lake,igb_licensee_list,135 Old McHenry Rd,Long Grove,60047,,,needs_coordinates
170702105,"THE WHINE GUYS, INC.",Chatham,Sangamon,igb_licensee_list,316 North Main Plaza,Chatham,62629,,,needs_coordinates
160704304,"THE WINE CAFE, INC.",Wilmington,Will,igb_licensee_list,130 Bridge Street,Wilmington,60481,,,needs_coordinates
120709246,The Workplace Pub Inc.,East Gillespie,Macoupin,igb_licensee_list,605 Litchfield Road,East Gillespie,62033,,,needs_coordinates
120900635,"THEODORE HOFFMAN POST NO. 1769 VETERANS OF FOREIGN WARS, U.S.A.",Effingham,Effingham,igb_licensee_list,2304 VETERANS DRIVE,Effingham,62401,,,needs_coordinates
120705564,"Third Base Lounge, Inc.",Rockdale,Will,igb_licensee_list,508-510 Moen Ave,Rockdale,60436,,,needs_coordinates
120700735,"Thirty Buck, Inc.",Joliet,,,,,,,,needs_address_and_coordinates
130902173,THOMAS E. HARTUNG AMERICAN LEGION POST 1977,New Lenox,Will,igb_licensee_list,14414 WEST FORD DRIVE,New Lenox,60451,,,needs_coordinates
180703589,"Thompsons 16 West, LLC",Jerseyville,,,,,,,,needs_address_and_coordinates
230701321,THOMSON FOOD MART INC.,Thomson,,,,,,,,needs_address_and_coordinates
170702713,Thorntons Inc.,Havana,Mason,igb_licensee_list,420 Dearborn Street,Havana,62644,,,needs_coordinates
171002437,Thorntons Inc.,Blue Island,Cook,igb_licensee_list,2330 127th Street,Blue Island,60406,,,needs_coordinates
171002627,Thorntons Inc.,Waukegan,Lake,igb_licensee_list,3233 Grand Avenue,Waukegan,60084,,,needs_coordinates
171002978,Thorntons Inc.,Tazewell County,Tazewell,igb_licensee_list,107 W. Spring Creek Road,East Peoria,61611,,,needs_coordinates
180703903,Thorntons LLC,Lincoln,Logan,igb_licensee_list,511 Keokuk Street,Lincoln,62656,,,needs_coordinates
241000975,Thorntons LLC,Hanover Park,Dupage,igb_licensee_list,823 W. Lake St.,Hanover Park,60133,,,needs_coordinates
241002004,Thorntons LLC,Lincoln,Logan,igb_licensee_list,2903 Woodlawn Rd.,Lincoln,62656,,,needs_coordinates
251000497,Thorntons LLC,Romeoville,Will,igb_licensee_list,1321 N. Joliet Road,Romeoville,60446,,,needs_coordinates
120706432,"Three Saints, Inc.",Peoria,Peoria,igb_licensee_list,"4700 N. University, #15",Peoria,61614,,,needs_coordinates
140702507,TIANS ROSEBUD INC.,Pana,,,,,,,,needs_address_and_coordinates
240701350,TIIE CORP.,Freeport,,,,,,,,needs_address_and_coordinates
140701468,Timberlake Club of Peoria,Peoria County,Peoria,igb_licensee_list,5501 W Farmington Rd,Peoria,61604,,,needs_coordinates
120700539,TIMBUKTU SALOON INC.,Long Creek,Macon,igb_licensee_list,5843 EAST U.S. ROUTE 36,Decatur,62521,,,needs_coordinates
150704284,Timbuktu Saloon Inc.,Decatur,Macon,igb_licensee_list,5180 N. Hickory Point Frontage Road,Decatur,62526,,,needs_coordinates
180703301,TIME AFTER TIME INCORPORATED,Cicero,Cook,verified_city_lookup,,,,,,needs_address_and_coordinates
120705984,"TIME OUT BAR & GRILL, LLC",Troy,Madison,igb_licensee_list,111 W. MARKET,Troy,62294,,,needs_coordinates
120711485,"Time-Out Sports Pub and Grille, Inc.",Winthrop Harbor,,,,,,,,needs_address_and_coordinates
